A/Z_1MHz,Θ/Z_1MHz,A/Z_500kHz,Θ/Z_500kHz,A/Z_100kHz,Θ/Z_100kHz,A/Z_50kHz,Θ/Z_50kHz,A/Z_10kHz,Θ/Z_10kHz,label
0.0005487937317034605,-0.01197432862004999,0.0002847587911775518,-0.011638578217239546,5.7998346844120735e-05,-0.011450925906495931,3.188139670515412e-05,-0.012047687691373514,8.221033049060917e-06,-0.012590559379904113,1
0.000549813348319867,-0.011948156177063057,0.00027948836894954604,-0.01173876371034322,6.629028931874406e-05,-0.011862371848881144,3.1277359146624575e-05,-0.011652938180356918,8.212332302234224e-06,-0.012610729443068845,1
0.0005513042661227948,-0.011954709365038464,0.0002845431040217872,-0.011720540203551694,5.406628127507698e-05,-0.011511893687541151,3.1600188938920074e-05,-0.011610861253601293,8.158519372193352e-06,-0.012683544482246912,1
0.0005484969438147951,-0.011976937026096795,0.00028023028284429336,-0.011741662218242046,5.833542704528413e-05,-0.011633671347265548,3.169754494735805e-05,-0.011408699591337963,8.220671084438319e-06,-0.012587212254447647,1
0.0005483133785343911,-0.011961606022630739,0.00027891235504259355,-0.011735748724548061,5.73218844264782e-05,-0.011649774025232512,3.146844018364785e-05,-0.01171426613492742,8.203278602226098e-06,-0.012537926698535666,1
0.0005497154029357668,-0.01191372910343576,0.0002807727238000536,-0.011637579533381666,5.57193812779713e-05,-0.011625990057818125,3.14892724272264e-05,-0.011666131316455717,8.26206472855951e-06,-0.012631019173040447,1
0.00054709285699175,-0.012016605939532871,0.00028296032855786886,-0.011710032410566331,5.475767721238439e-05,-0.011297031020047522,3.1632739381160164e-05,-0.011902021454403678,8.25676110105161e-06,-0.012567658348468198,1
0.0005503392118095081,-0.011961745701837593,0.0002818265160610904,-0.011670546548035943,5.794586991545193e-05,-0.011374861839932792,3.112890909809212e-05,-0.011438683125100884,8.234076603831259e-06,-0.012605243411522193,1
0.0005490269151545428,-0.011990202691713478,0.0002813008334868308,-0.01170955226013595,5.7888923569371146e-05,-0.011529038726517232,3.173778053769659e-05,-0.011683571269392701,8.253669922317688e-06,-0.012583089580401505,1
0.0005492302806464962,-0.011947163224770322,0.00028117222177097517,-0.011662887771678425,6.153827147040953e-05,-0.01165165215777423,3.16076313104709e-05,-0.011942114016792836,8.191535055914693e-06,-0.012470251375161365,1
