Amp_1MHz,Phase_1MHz,Amp_500kHz,Phase_500kHz,Amp_100kHz,Phase_100kHz,Amp_50kHz,Phase_50kHz,Amp_10kHz,Phase_10kHz,R_1MHz,X_1MHz,R_500kHz,X_500MHz,R_100kHz,X_100MHz,R_50kHz,X_50MHz,R_10kHz,X_10MHz,A/Z_1MHz,P/Z_1MHz,A/Z_500kHz,P/Z_500kHz,A/Z_100kHz,P/Z_100kHz,A/Z_50kHz,P/Z_50kHz,A/Z_10kHz,P/Z_10kHz,G_1MHz,B_1MHz,G_500kHz,B_500MHz,G_100kHz,B_100MHz,G_50kHz,B_50MHz,G_10kHz,B_10MHz,label
1821.688886,-83.5473147,3555.712539,-86.10255047,16097.11646,-87.62314247,31882.99308,-86.00453631,120932.2042,-79.44429148,204.7262906239707,-1810.1484865345358,241.684908813534,-3547.489262119566,667.5811000023974,-16083.267510108835,2221.52702214389,-31805.503697146698,22153.746454997145,-118885.69943722499,0.0005489411543788713,83.5473147,0.00028123758291249203,86.10255047,6.212292757432159e-05,87.62314247,3.1364683908152075e-05,86.00453631,8.26909595020844e-06,79.44429148,6.169148155346806e-05,0.0005454636120535869,1.9115965881837093e-05,0.0002805871662975078,2.576367787888569e-06,6.206948090185655e-05,2.185412538532015e-06,3.128845423945902e-05,1.514827719421999e-06,8.129160154297882e-06,1
1825.482283,-83.48851084,3541.572194,-85.40379061,16979.58724,-85.5836755,31509.43348,-85.13802819,121699.2694,-79.59662395,207.0141563245857,-1813.7063446512261,283.7967289497619,-3530.1831428342903,1307.4808807555453,-16929.172353875707,2670.601347907581,-31396.05527245579,21976.101153032967,-119698.6347065222,0.0005478004411834656,83.48851084,0.0002823604730391104,85.40379061,5.8894246713149194e-05,85.5836755,3.173652743184769e-05,85.13802819,8.216976198215368e-06,79.59662395,6.212191004092642e-05,0.000544266654916197,2.262638575290525e-05,0.0002814524531828261,4.535039661184525e-06,5.871938105243249e-05,2.6898488349908083e-06,3.1622332087898254e-05,1.4837977334976933e-06,8.081895948854142e-06,1
1823.475216,-83.56492477,3525.841323,-85.50821963,16638.40275,-86.83830273,31867.46628,-84.90499807,121264.557,-79.41104553,204.37013212008873,-1811.986399635346,276.13006248903247,-3515.0119805719287,917.6749008875375,-16613.07674235837,2830.067114890714,-31741.55206085788,22283.800069548717,-119199.51777950542,0.0005484033954646302,83.56492477,0.0002836202507120029,85.50821963,6.010192294449658e-05,86.83830273,3.1379965737269775e-05,84.90499807,8.246432632413772e-06,79.41104553,6.146355782781954e-05,0.0005449481766335968,2.2212025550152763e-05,0.00028274913357055354,3.3148630316237123e-06,6.0010439297740345e-05,2.7867734547562698e-06,3.125597772241481e-05,1.5153797664696933e-06,8.106002425629603e-06,1
1821.624124,-83.6349934,3542.065904,-86.03846939,16171.96856,-86.08519387,30830.81752,-85.8777809,121869.0126,-78.75143468,201.94883470794858,-1810.3952931055883,244.70955981282353,-3533.60270823073,1104.1105187223286,-16134.234009337883,2216.2499767516665,-30751.057623959656,23772.471953214983,-119527.92899290343,0.0005489606702200218,83.6349934,0.0002823211162928153,86.03846939,6.183539105272661e-05,86.08519387,3.243507893851009e-05,85.8777809,8.205531321421407e-06,78.75143468,6.08588600638382e-05,0.0005455767742491845,1.95046275157843e-05,0.0002816465554738631,4.221694188763871e-06,6.169110863665995e-05,2.3315710943045878e-06,3.23511687884624e-05,1.6006182296722527e-06,8.047904419764725e-06,1
1822.556928,-83.56334934,3565.229707,-85.40723759,17589.71926,-84.3382824,31376.71186,-84.77214061,121597.861,-79.72822466,204.3170109126251,-1811.0682800083841,285.47867685191574,-3553.7817587378922,1735.3115960093987,-17503.9114860185,2858.9457795660383,-31246.191386710896,21683.028845174213,-119649.01194692192,0.0005486797063164219,83.56334934,0.0002804868359636385,85.40723759,5.685139058893655e-05,84.3382824,3.18707710502588e-05,84.77214061,8.223828871463453e-06,79.72822466,6.150951765660749e-05,0.0005452210555005432,2.2459425446855185e-05,0.00027958619307378224,5.608666965059975e-06,5.6574052946300994e-05,2.9039628751479023e-06,3.173819539541871e-05,1.4664527580605925e-06,8.092025557021698e-06,1
1822.237908,-83.51041796,3542.071046,-84.77955416,17897.9267,-85.60843287,31895.3333,-83.96145764,121653.0788,-79.12415011,205.95398055186038,-1810.5617778046294,322.2857938740369,-3527.3785112996475,1370.4850498486182,-17845.378978511897,3355.3075890280993,-31718.35741808045,22953.68923838718,-119467.98622169271,0.0005487757639163327,83.51041796,0.00028232070644920655,84.77955416,5.5872393309108816e-05,85.60843287,3.135254899499671e-05,83.96145764,8.220096111533841e-06,79.12415011,6.202403786726442e-05,0.0005452594408064794,2.5687783170756162e-05,0.0002811496382458126,4.278276529615891e-06,5.570835380823854e-05,3.298208066641767e-06,3.117858483050198e-05,1.5509803246658368e-06,8.072449449538425e-06,1
1825.597528,-84.06696145,3579.455061,-85.16993912,17818.72956,-87.22229556,31468.70887,-85.59253286,121219.5706,-79.82978353,188.7048904706639,-1815.8184927332811,301.392453743209,-3566.7437702399034,863.5152305407412,-17797.79381212857,2418.3378497311232,-31375.647881587633,21404.1167198283,-119314.91140629638,0.0005477658600335265,84.06696145,0.0002793721342937122,85.16993912,5.6120723794182776e-05,87.22229556,3.177759863396645e-05,85.59253286,8.249493007195984e-06,79.82978353,5.6620418814017826e-05,0.0005448316855613246,2.352331615492776e-05,0.0002783800334379233,2.7196719935653483e-06,5.605478591012876e-05,2.4420757097965144e-06,3.1683624179836e-05,1.4566386461480353e-06,8.119873073535292e-06,1
1820.677872,-83.23722685,3589.194665,-85.13339354,17602.51804,-86.01251145,31498.15596,-83.04905077,121344.1146,-79.60688462,214.40081005080498,-1808.010012759887,304.4936777206481,-3576.2552961851893,1224.0551301295036,-17559.906901431143,3811.8936879911435,-31266.648291621164,21890.594606594885,-119353.24049152437,0.0005492459788625366,83.23722685,0.0002786140327665956,85.13339354,5.6810053977936446e-05,86.01251145,3.174789029776586e-05,83.04905077,8.241025972264171e-06,79.60688462,6.467853792055927e-05,0.0005454244512571148,2.3636559011123417e-05,0.000277609604179285,3.95049377916315e-06,5.667253154639244e-05,3.842116433316719e-06,3.151454711195789e-05,1.4866889860783937e-06,8.105816734555859e-06,1
1822.178247,-83.511989,3511.744083,-85.92114787,17241.87075,-87.32918265,31366.25441,-83.00347964,121639.2142,-79.42458868,205.8975937820447,-1810.5081454428084,249.78784262401584,-3502.8492028865235,803.4311192250394,-17223.141565822603,3820.6941124048008,-31132.687198702904,22324.384602232316,-119573.07507681273,0.0005487937317034605,83.511989,0.0002847587911775518,85.92114787,5.7998346844120735e-05,87.32918265,3.188139670515412e-05,83.00347964,8.221033049060917e-06,79.42458868,6.201111720351447e-05,0.0005452789940023198,2.025468896232872e-05,0.0002840375269712435,2.7025882164308626e-06,5.793534546011907e-05,3.883443113558045e-06,3.164399351306928e-05,1.508802114695826e-06,8.081392242209337e-06,1
1818.799058,-83.69492206,3577.966424,-85.18784641,15085.16572,-84.30017308,31972.00874,-85.81526689,121768.0877,-79.29755408,199.7448816889515,-1807.7975538264106,300.15280417450447,-3565.354403901179,1498.2095399521347,-15010.582699357796,2333.0758926732283,-31886.76997987823,22613.376503842173,-119649.91594318138,0.000549813348319867,83.69492206,0.00027948836894954604,85.18784641,6.629028931874406e-05,84.30017308,3.1277359146624575e-05,85.81526689,8.212332302234224e-06,79.29755408,6.0381822680248005e-05,0.0005464876517182383,2.3446060620261634e-05,0.00027850319678500744,6.583735684908965e-06,6.596254150951166e-05,2.2823856081390615e-06,3.1193972352406475e-05,1.5251004251837936e-06,8.06947771143981e-06,1
