G_1MHz,B_1MHz,G_500kHz,B_500MHz,G_100kHz,B_100MHz,G_50kHz,B_50MHz,G_10kHz,B_10MHz,label
0.000550371736257251,-6.57580466380266e-06,0.00028262063139440706,-3.2986139982135665e-06,6.227903824426632e-05,-7.048084985745786e-07,3.2127795088731255e-05,-3.768053530240631e-07,8.255610196495628e-06,-1.0421021726423308e-07,1
0.0005477314410702316,-6.576573653379977e-06,0.00028029103220916237,-3.283517881466566e-06,6.141155146957157e-05,-7.057044360064937e-07,3.1976635704284095e-05,-3.7082426761691384e-07,8.253124892396823e-06,-1.045962589634915e-07,1
0.0005473776718070654,-6.564151404540327e-06,0.0002802473293952244,-3.2429326955842075e-06,6.046027731553874e-05,-7.037892077436792e-07,3.1931392106121745e-05,-3.796670014560078e-07,8.215553277760377e-06,-1.0322249444265373e-07,1
0.0005480007472053741,-6.550643764593871e-06,0.0002816198275496792,-3.280690459355577e-06,5.844259431525444e-05,-6.924980965242324e-07,3.162491706784057e-05,-3.6969488688309253e-07,8.22982787290046e-06,-1.0433278502420831e-07,1
0.0005491847439738863,-6.5615699132330175e-06,0.0002812088424812005,-3.288354299262286e-06,5.7590142252262455e-05,-6.610998282467746e-07,3.11018647656409e-05,-3.605564711416482e-07,8.222345243921408e-06,-1.0324405367483515e-07,1
0.000549963867519092,-6.563636838641413e-06,0.00028236923547044277,-3.2863413833249494e-06,5.5250915586763796e-05,-6.48824368367394e-07,3.132821486554836e-05,-3.5756601319591627e-07,8.22626523281005e-06,-1.0435232049909581e-07,1
0.0005481088707321194,-6.552107539059783e-06,0.0002811472051377616,-3.277052321182925e-06,5.76737813468532e-05,-6.577748880890481e-07,3.151014698678341e-05,-3.7173999767022796e-07,8.209820518385448e-06,-1.0342410109484629e-07,1
0.0005493797056351981,-6.569511920766503e-06,0.00028338560010504095,-3.3124215785705495e-06,5.9584262125306355e-05,-6.857269882775667e-07,3.199402820877469e-05,-3.7104295566203967e-07,8.243405197815458e-06,-1.0335200986159619e-07,1
0.000547962767718525,-6.551408644178431e-06,0.00028018591965863057,-3.256504832719381e-06,5.527598231269814e-05,-6.372612056354027e-07,3.2150049099130796e-05,-3.7735977816145277e-07,8.232972143485723e-06,-1.0283014301045092e-07,1
0.0005488458108933714,-6.5691524301761136e-06,0.0002823922738645056,-3.301288231524482e-06,5.700756813370572e-05,-6.647422610629855e-07,3.202263058575798e-05,-3.727674738212255e-07,8.181483592368708e-06,-1.0285940458356956e-07,1
0.0005481763967648334,-6.5669583310014464e-06,0.0002804741629004593,-3.2768686809619654e-06,6.508884378560738e-05,-7.598707443983403e-07,3.1126305935309075e-05,-3.7163550286480423e-07,8.24375269418706e-06,-1.0366547068136043e-07,1
0.0005487166449503314,-6.570269151788448e-06,0.00028314810437801404,-3.3168715342562997e-06,5.169110015981046e-05,-6.076982583196973e-07,3.173611340005008e-05,-3.7617765647133317e-07,8.231702752224607e-06,-1.0408776183455109e-07,1
0.0005484116938544734,-6.55128551339474e-06,0.0002818144985189527,-3.318947908804005e-06,5.37728159050818e-05,-6.304927602473781e-07,3.188554720727802e-05,-3.773042788102681e-07,8.238858032776076e-06,-1.036786523965672e-07,1
