Amp_1MHz,Phase_1MHz,Amp_500kHz,Phase_500kHz,Amp_100kHz,Phase_100kHz,Amp_50kHz,Phase_50kHz,Amp_10kHz,Phase_10kHz,Label
1824.07846,-83.66460826,3578.611594,-85.93294882,16246.97372,-86.77404387,31615.04468,-85.76948229,,,1
1817.875405,-83.47158324,3557.569942,-85.03107395,17755.46022,-86.1994794,31399.33095,-84.01409545,,,1
1826.899049,-83.45787884,3568.560523,-84.94407961,17299.47718,-84.97244386,31434.4091,-87.74022377,,,1
1820.074333,-83.57977894,3564.855462,-85.63477855,17757.82448,-86.00780134,,,,,1
1819.107807,-83.41692451,3567.02174,-85.47748843,16712.03488,-85.15563755,,,,,1
1826.839179,-83.52078527,3586.607248,-85.734311,16557.16373,-84.45954623,,,,,1
1825.558257,-83.58319246,3529.409205,-85.09812638,14864.64415,-85.74235139,,,,,1
1826.678833,-83.55220176,3574.124699,-85.80812202,15708.74766,-84.81756783,,,,,1
1823.895042,-83.61389557,,,16889.87072,-86.58873336,,,,,1
1818.778416,-83.64972687,,,17659.57859,-86.21222981,,,,,1
1830.288216,-83.48143235,3559.079189,-85.2667394,16864.0194,-86.33200034,31368.13584,-85.01014045,121963.4897,-79.26060731,0
1819.81036,-83.62054312,3558.356711,-85.60222509,16551.82433,-84.74585908,31517.26843,-84.83224837,121436.2225,-79.18028025,0
1824.959934,-83.39278996,3549.922065,-85.03483051,16483.87188,-85.38299776,31743.15134,-85.10565754,120556.8305,-79.5954692,0
1825.65649,-83.59873117,3563.891803,-85.45138557,16715.36027,-86.3164135,31243.78894,-85.13133111,120894.3167,-79.4625953,0
1820.353928,-83.30204309,3578.635268,-85.26511388,16649.56723,-85.6458245,31514.07161,-85.13845832,121021.4687,-79.26924998,0
1824.053724,-83.47847721,3561.518422,-85.31464405,17277.50515,-84.74728678,31487.97096,-85.45385903,120995.7474,-79.56727058,0
1825.536007,-83.43013508,3562.061023,-85.41456911,16681.86976,-85.84230623,31628.91743,-85.08589435,120618.5995,-79.47546845,0
1822.910462,-83.35828302,3555.263011,-85.43741725,15911.25997,-86.76390795,31603.7734,-84.94792832,120942.3541,-78.95925366,0
1815.810825,-83.33411181,3560.910474,-85.1057506,16010.06085,-85.66888021,31430.23413,-85.07703602,121042.4691,-78.95302739,0
1822.534332,-83.69211547,3566.69487,-85.37157413,17331.57839,-87.80907814,31209.5102,-85.1761304,121028.3227,-79.12378227,0
1827.480359,-83.47159589,3558.405321,-85.22670041,16058.06643,-85.02366426,31576.60741,-85.23934403,121996.1297,-79.19607284,0
1817.758321,-83.29580977,3557.577152,-85.42172949,16974.48167,-86.22937933,31334.6706,-85.17817132,121457.7606,-79.66572793,0
1820.379788,-83.71272995,3566.071457,-85.39367232,16485.48102,-86.27799213,31318.23241,-84.73134486,120879.9497,-79.29826924,0
1819.006265,-83.37551365,3552.976514,-85.1901412,16532.1689,-84.91533612,31626.97469,-85.70357476,121226.5229,-79.50737171,0
1829.995724,-83.80287347,3564.577214,-85.10683969,16549.0354,-87.18559992,31323.52133,-85.0853292,120939.7785,-79.67516038,0
1824.333776,-83.60348257,3570.204862,-85.30787925,17190.78987,-83.82987387,31664.47813,-85.1922584,121244.7372,-79.54332785,0
1823.059766,-83.4318919,3575.553038,-85.53453292,16521.24027,-86.28906688,31507.24008,-84.67376662,121863.2922,-79.39347882,0
1817.39585,-83.70603689,3561.178985,-84.91274142,16596.7644,-86.33264015,31504.77521,-85.0808463,121535.3449,-79.55252737,0
1823.693744,-83.59750013,3575.628844,-85.43173895,15887.79752,-84.76789738,31503.0284,-84.66530195,122605.2809,-79.5533535,0
1817.855665,-83.67614095,3572.326664,-85.55629051,16710.39431,-85.08452796,31216.30277,-85.71440501,121600.4129,-79.23122643,0
1821.252747,-83.17162784,3552.201405,-84.80429332,16863.95508,-83.31912743,31195.97162,-84.96337428,120921.8681,-79.38665616,0
1818.040809,-83.41158227,3550.003906,-85.34946368,16725.7598,-86.01650044,31489.51334,-85.0155638,121828.6849,-79.36522208,0
1824.353685,-83.34640526,3559.052292,-85.54177157,17274.35714,-85.9245096,31541.45263,-84.69274213,121970.8588,-79.39438863,0
1823.873381,-83.4741462,3572.272407,-85.4002647,16638.65929,-87.30125097,31469.92239,-85.5741275,121978.3497,-79.583316,0
1820.097576,-83.49529013,3561.358322,-85.20917785,16754.08652,-86.13898318,31336.68333,-85.14204798,120826.8122,-79.75000443,0
1823.004659,-83.69952975,3556.121704,-85.24140188,17393.00453,-86.53342109,31460.5369,-85.07777411,121324.9138,-79.34672537,0
1815.84132,-83.48533004,3577.458848,-85.43086258,15878.70244,-86.25717882,31445.65952,-85.24110875,121998.1584,-79.54285547,0
1813.925751,-83.56127534,3564.918226,-84.94460166,16396.73371,-87.56959848,31316.69721,-84.7433122,120516.0981,-79.90358113,0
1823.213368,-83.2994085,3539.075616,-85.37083579,17287.73769,-84.12012438,31607.17207,-85.19543502,121139.8079,-79.51539601,0
1821.901425,-83.25361736,3565.218091,-85.49139988,17055.73874,-87.23771554,31202.76698,-84.50546125,120651.7475,-79.68323155,0
1824.154516,-83.20098629,3567.228811,-85.10133338,16933.71039,-88.64149712,31544.50825,-84.79052274,120911.8831,-79.25362957,0
